GIG,SBGL
GIL,OPGT
GIR,SKGI
GIZ,OEGN
GJL,DAAV
GJM,SBGM
GJT,KGJT
GKE,ETNG
GKN,PAGK
GKT,KGKT
GLA,EGPF
GLD,KGLD
GLE,KGLE
GLH,KGLH
GLR,KGLR
GLS,KGLS
GLT,YGLA
GLW,KGLW
GLZ,EHGR
GMA,FZFK
GMB,HAGM
GME,UMGG
GMP,RKSS
GMR,NTGJ
GMU,KGMU
GNA,UMMG
GNB,LFLS
GND,TGPY
GNM,SNGI
GNR,SAHR
GNT,KGNT
GNV,KGNV
GNY,KGNB
GOA,LIMJ
GOI,VAGO
GOJ,UWGG
GOM,FZNA
GON,KGON
GOP,VEGK
GOT,ESGG
GOU,FKKR
GOV,YPGV
GPA,LGRX
GPO,SAZG
GPS,SEGS
GPT,KGPT
GPZ,KGPZ
GRB,KGRB
GRD,KGRD
GRF,KGRF
GRI,KGRI
GRJ,FAGG
GRK,KGRK
GRN,KGRN
GRO,LEGE
GRP,SWGI
GRQ,EHGG
GRR,KGRR
GRS,LIRS
GRU,SBGR
GRX,LEGR
GRZ,LOWG
GSB,KGSB
GSE,ESGP
GSH,KGSH
GSO,KGSO
GSP,KGSP
GSQ,HEOW
GST,PAGS
GTE,YGTE
GTF,KGTF
GTO,WAMG
GTR,KGTR
GUA,MGGT
GUB,
GUC,KGUC
GUF,KJKA
GUH,YGDH
GUI,SVGI
GUJ,SBGW
GUM,PGUM
GUP,KGUP
GUQ,SVGU
GUS,KGUS
GUW,UATG
GUY,KGUY
GVA,LSGG
GVL,KGVL
GVT,KGVT
GVX,ESSK
GWD,OPGD
GWL,VIGR
GWO,KGWO
GWR,KGWR
GWT,EDXW
GXF,OYSY
GXG,FNNG
GXY,KGXY
GYE,SEGU
GYL,YARG
GYM,MMGM
GYN,SBGO
GYR,KGYR
GYY,KGYY
GZA,LVGZ
GZT,LTAJ
HAB,KHAB
HAC,RJTH
HAD,ESMT
HAF,KHAF
HAH,FMCH
HAJ,EDDV
HAK,ZJHK
HAM,EDDH
HAN,VVNB
HAO,KHAO
HAR,KCXY
HAS,OEHL
